time,at,ah,gt,gh
380,41.3,40.2,29.17,44.72
385,41.3,40.2,29.18,44.72
390,41.3,40.2,29.19,44.72
395,41.3,40.2,29.19,44.72
400,41.3,40.2,29.2,44.72
405,41.3,40.2,29.21,44.72
410,42.1,34.5,29.22,44.69
415,42.1,34.5,29.23,44.69
420,42.1,34.5,29.24,44.69
425,42.1,34.5,29.26,44.72
430,42.1,34.5,29.27,44.72
435,42.1,34.5,29.27,44.72
440,42.1,34.5,29.28,44.72
445,42.1,34.5,29.28,44.69
450,42.1,34.5,29.3,44.72
455,42.1,34.5,29.31,44.72
460,42.1,34.5,29.32,44.72
465,42.5,35.7,29.32,44.72
470,42.5,35.7,29.33,44.74
475,42.5,35.7,29.34,44.74
480,42.5,35.7,29.35,44.71
485,42.5,35.7,29.36,44.71
490,42.5,35.7,29.37,44.71
495,42.5,35.7,29.38,44.74
500,42.5,35.7,29.39,44.74
505,42.5,35.7,29.41,44.71
510,42.5,35.7,29.42,44.74
515,42.5,35.7,29.43,44.74
520,42.5,35.7,29.44,44.74
525,42.5,35.7,29.45,44.74
530,42.5,35.7,29.46,44.74
535,42.5,35.7,29.46,44.74
540,42.5,35.7,29.47,44.74
545,42.5,35.7,29.48,44.74
550,44.1,35.7,29.5,44.77
555,44.1,35.7,29.51,44.77
560,44.2,34.8,29.52,44.77
565,44.2,34.8,29.54,44.77
570,44.1,34.8,29.56,44.77
575,44.1,34.8,29.56,44.77
580,44.1,34.8,29.56,44.77
585,44.1,34.8,29.56,44.77
590,44.1,34.8,29.57,44.77
595,44.1,34.8,29.59,44.77
600,44.1,34.8,29.6,44.77
605,44.1,34.8,29.6,44.77
610,45.3,32.1,29.61,44.77
615,45.3,32.1,29.62,44.77
620,45.3,32.1,29.63,44.77
625,45.3,32.1,29.64,44.77
630,45.3,32.1,29.65,44.77
635,45.3,32.1,29.66,44.77
640,45.3,32.1,29.67,44.79
645,45.3,32.1,29.68,44.79
650,45.3,32.1,29.68,44.79
655,45.3,32.1,29.7,44.79
660,45.3,32.1,29.71,44.79
665,45.3,32.1,29.72,44.79
670,45.3,32.1,29.73,44.79
675,45.3,32.1,29.74,44.79
680,45.3,32.1,29.75,44.79
685,45.3,32.1,29.76,44.79
690,44.9,33.3,29.77,44.76
695,44.9,33.3,29.78,44.76
700,44.9,33.3,29.79,44.76
705,44.9,33.3,29.81,44.79
710,44.9,33.3,29.81,44.76
715,44.9,33.3,29.82,44.78
720,44.9,33.3,29.83,44.78
725,44.9,33.3,29.86,44.78
730,44.9,33.3,29.86,44.81
735,44.9,33.3,29.87,44.78
740,44.9,33.3,29.89,44.78
745,44.9,33.3,29.89,44.81
750,44.9,33.3,29.9,44.78
755,44.9,33.3,29.91,44.78
760,44.9,33.3,29.92,44.78
765,44.9,33.3,29.89,44.85
770,44.9,33.3,29.89,44.85
775,44.9,33.3,29.9,44.85
780,44.9,33.3,29.91,44.85
785,44.9,33.3,29.91,44.85
790,44.9,33.3,29.92,44.88
795,44.9,33.3,29.92,44.88
800,44.9,33.3,29.93,44.88
805,44.9,33.3,29.94,44.88
810,42.5,33.3,29.94,44.88
815,42.5,33.3,29.95,44.88
820,42.5,33.3,29.96,44.88
825,42.5,33.3,29.96,44.92
830,41.6,33.4,29.97,44.88
835,42.1,33.5,29.98,44.88
840,42.1,33.5,30,44.88
845,42.1,33.5,30.01,44.88
850,42.1,33.5,30.02,44.9
855,42.1,33.5,30.03,44.9
860,42.1,33.5,30.03,44.9
865,42.1,33.5,30.03,44.94
870,42.1,33.5,30.03,44.94
875,42.1,33.5,30.04,44.94
880,42.1,33.5,30.05,44.94
885,42.1,33.5,30.06,44.94
890,42.1,33.5,30.07,44.94
895,42.1,33.5,30.08,44.94
900,42.1,33.5,30.09,44.94
905,42.1,33.5,30.09,44.94
910,42.1,33.5,30.1,44.94
915,42.1,33.5,30.1,44.94
920,42.1,33.5,30.11,44.94
925,40.1,34.1,30.12,44.94
930,40.1,34.1,30.15,44.94
935,40.1,34.1,30.15,44.94
940,40.1,34.1,30.16,44.94
945,40.1,34.1,30.17,44.94
950,40.1,34.1,30.17,44.94
955,40.1,34.1,30.18,44.94
960,40.1,34.1,30.18,44.96
965,40.1,34.1,30.19,44.96
970,40.1,34.1,30.2,44.96
975,40.1,34.1,30.2,44.96
980,40.1,34.1,30.22,44.96
985,40.1,34.1,30.23,44.96
990,40.1,34.1,30.23,44.96
995,40.1,34.1,30.23,44.96
1000,40.1,34.1,30.24,44.96
1005,40.1,34.1,30.25,44.96
1010,40.1,34.1,30.25,44.96
1015,40.1,34.1,30.26,44.96
1020,40.1,34.1,30.27,44.96
1025,40.1,34.1,30.27,44.96
1030,40.1,34.1,30.28,44.96
1035,40.1,34.1,30.3,44.96
1040,40.1,34.1,30.3,44.96
1045,40.1,34.1,30.31,44.96
1050,40.1,34.1,30.31,44.96
1055,40.1,34.1,30.32,44.96
1060,40.1,34.1,30.32,44.96
1065,40.1,34.1,30.33,44.96
1070,40.1,34.1,30.34,44.96
1075,40.1,34.1,30.34,44.96
1080,40.1,34.1,30.35,44.96
1085,40.1,34.1,30.36,44.96
1090,38.5,34.9,30.36,44.99
1095,38.5,34.9,30.37,44.99
1100,38.5,34.9,30.37,44.99
1105,38.4,35.2,30.38,44.99
1110,38.4,35.2,30.38,44.99
1115,38.4,35.2,30.39,44.99
1120,38.2,35.2,30.39,45.02
1125,38.1,35.3,30.4,44.99
1130,38.1,35.3,30.4,45.02
1135,38.1,35.3,30.41,44.99
1140,38.1,35.3,30.42,45.02
1145,38,35.4,30.42,44.99
