time,at,ah,gt,gh
1035,23.60,39.70,28.91,44.54
1040,23.40,39.30,28.91,44.54
1045,23.40,39.30,28.91,44.51
1050,23.40,39.30,28.90,44.51
1055,23.40,39.30,28.90,44.51
1060,23.40,39.30,28.89,44.48
1065,23.40,39.30,28.89,44.48
1070,23.40,39.30,28.88,44.48
1075,23.40,39.30,28.87,44.48
1080,23.40,39.30,28.87,44.48
1085,23.60,39.70,28.86,44.48
1090,23.60,39.70,28.85,44.44
1095,23.80,39.30,28.85,44.44
1100,23.80,39.30,28.84,44.44
1105,23.80,39.30,28.83,44.44
1110,23.80,39.30,28.83,44.48
1115,23.80,39.30,28.82,44.44
1120,23.80,39.30,28.82,44.44
1125,23.80,39.30,28.80,44.44
1130,23.60,39.70,28.80,44.44
1135,23.60,39.70,28.79,44.38
1140,23.60,39.70,28.78,44.38
1145,23.60,39.70,28.78,44.38
1150,23.60,39.70,28.77,44.38
1155,23.60,39.70,28.76,44.38
1160,23.60,39.70,28.76,44.38
1165,23.60,39.70,28.75,44.38
1170,23.60,39.70,28.75,44.35
1175,23.60,39.70,28.74,44.35
1180,23.60,39.70,28.73,44.35
1185,23.60,39.70,28.73,44.35
1190,23.60,39.70,28.72,44.35
1195,23.60,39.70,28.72,44.35
1200,23.60,39.70,28.71,44.32
1205,23.60,39.70,28.70,44.32
1210,23.60,39.70,28.69,44.32
1215,23.60,39.70,28.69,44.32
1220,23.60,39.70,28.68,44.32
1225,23.60,39.70,28.68,44.32
1230,23.60,39.70,28.65,44.29
1235,23.60,39.70,28.64,44.29
1240,23.60,39.70,28.64,44.29
1245,23.60,39.70,28.64,44.29
1250,23.60,39.70,28.64,44.29
1255,23.60,39.70,28.64,44.29
1260,23.60,39.70,28.64,44.29
1265,23.60,39.70,28.64,44.29
1270,23.60,39.70,28.61,44.25
1275,23.60,39.70,28.60,44.22
1280,23.40,39.30,28.60,44.22
1285,23.40,39.30,28.58,44.22
1290,23.40,39.30,28.58,44.22
1295,23.40,39.30,28.56,44.22
1300,23.40,39.30,28.56,44.22
1305,23.40,39.30,28.55,44.22
1310,23.40,39.30,28.54,44.22
1315,23.40,39.30,28.54,44.22
1320,23.40,39.30,28.53,44.22
1325,23.40,39.30,28.53,44.19
1330,23.40,39.30,28.50,44.19
1335,23.40,39.30,28.50,44.19
1340,23.40,39.30,28.49,44.19
1345,23.40,39.30,28.49,44.19
1350,23.40,39.30,28.48,44.19
1355,23.30,39.40,28.47,44.19
1360,23.30,39.40,28.47,44.16
1365,23.30,39.40,28.46,44.16
1370,23.30,39.40,28.45,44.16
1375,23.30,39.40,28.45,44.16
1380,23.30,39.40,28.44,44.16
1385,23.30,39.20,28.43,44.13
1390,23.30,39.20,28.42,44.13
1395,23.30,39.20,28.41,44.13
1400,23.30,39.40,28.41,44.13
1405,23.30,39.40,28.40,44.13
1410,23.30,39.40,28.39,44.13
1415,23.30,39.40,28.39,44.13
1420,23.30,39.40,28.38,44.13
1425,23.30,39.40,28.37,44.13
1430,23.30,39.40,28.35,44.13
1435,23.30,39.40,28.35,44.13
1440,23.30,39.40,28.35,44.13
1445,23.30,39.40,28.33,44.13
1450,23.30,39.40,28.33,44.10
1455,23.30,39.40,28.32,44.10
1460,23.30,39.40,28.31,44.10
1465,23.30,39.40,28.30,44.10
1470,23.30,39.40,28.30,44.10
1475,23.30,39.40,28.29,44.10
1480,23.30,39.40,28.28,44.10
1485,23.30,39.40,28.27,44.07
1490,23.30,39.40,28.27,44.04
1495,23.30,39.40,28.26,44.04
1500,23.30,39.40,28.25,44.04
1505,23.30,39.40,28.25,44.04
1510,23.30,39.40,28.24,44.04
1515,23.30,39.40,28.23,44.04
1520,23.30,39.40,28.24,44.04
1525,23.30,39.40,28.23,44.01
1530,23.30,39.40,28.21,44.01
1535,23.30,39.40,28.20,44.01
1540,23.30,39.40,28.20,44.01
1545,23.30,39.40,28.19,44.01
1550,23.30,39.40,28.18,44.01
1555,23.30,39.40,28.18,44.01
1560,23.30,39.40,28.16,44.01
1565,23.30,39.40,28.15,44.01
1570,23.30,39.40,28.15,44.01
1575,23.30,39.40,28.14,44.01
1580,23.30,39.40,28.13,44.01
1585,23.30,39.40,28.13,43.97
1590,23.00,90.50,28.12,43.97
1595,23.00,90.50,28.11,43.97
1600,23.00,90.50,28.10,43.97
1605,23.00,90.50,28.09,43.97
1610,23.00,90.50,28.08,43.96
1615,23.00,90.50,28.08,43.96
1620,23.00,90.50,28.06,43.96
1625,23.00,90.50,28.06,43.92
1630,23.00,90.50,28.06,43.92
1635,23.00,90.50,28.05,43.92
1640,23.00,90.50,28.04,43.92
1645,23.00,90.50,28.03,43.92
1650,23.00,90.50,28.02,43.92
1655,23.00,90.50,28.02,43.92
1660,23.00,90.50,28.01,43.92
1665,23.00,90.50,28.00,43.89
1670,23.00,90.50,28.00,43.89
1675,23.00,90.50,27.99,43.89
1680,23.00,90.50,27.98,43.89
1685,23.00,90.50,27.97,43.89
1690,23.00,90.50,27.97,43.89
1695,23.00,90.50,27.96,43.89
1700,23.00,90.50,27.95,43.89
1705,23.00,90.50,27.94,43.89
1710,23.00,90.50,27.94,43.85
1715,23.00,90.50,27.93,43.85
1720,23.00,90.50,27.91,43.83
1725,23.00,90.50,27.90,43.83
1730,23.00,90.50,27.90,43.83
1735,23.00,90.50,27.89,43.83
1740,23.00,90.50,27.88,43.80
1745,23.00,90.50,27.87,43.80
1750,23.00,90.50,27.87,43.80
1755,23.00,90.50,27.86,43.83
1760,23.00,90.50,27.85,43.80
1765,23.00,90.50,27.85,43.80
1770,23.00,90.50,27.84,43.80
1775,23.00,90.50,27.83,43.80
1780,22.80,90.50,27.82,43.80
1785,22.80,90.50,27.82,43.80
1790,22.80,90.50,27.81,43.80
1795,22.80,90.50,27.80,43.80
